Suburb,Postcode,State,"Property
Type","Region
(SA4)",Investor Score (Out Of 100),Growth Gap Index,10 Year Growth,Yield Score,Buy Affordability Score,Rent Affordability Score,Latitude,Longitude
Peel,2795,New South Wales,House,Central West,68,90,100,40,100,100,-33.3004692829554,149.65953575779
Pelaw Main,2327,New South Wales,Unit,Hunter Valley exc Newcastle,84,68,100,99,100,68,-32.8376700612561,151.478932889022
Pelaw Main,2327,New South Wales,House,Hunter Valley exc Newcastle,68,90,100,88,88,10,-32.8376700612561,151.478932889022
Pelican (NSW),2281,New South Wales,House,Newcastle and Lake Macquarie,70,90,100,56,71,29,-33.0715878065945,151.646487711583
Pemulwuy,2145,New South Wales,House,Sydney - Parramatta,70,90,100,69,98,84,-33.8184398703199,150.902495236585
Pemulwuy,2145,New South Wales,Unit,Sydney - Parramatta,56,68,100,10,100,100,-33.8184398703199,150.902495236585
Pendle Hill,2145,New South Wales,Unit,Sydney - Parramatta,72,68,100,100,100,97,-33.8040104183755,150.955426815582
Pendle Hill,2145,New South Wales,House,Sydney - Parramatta,68,90,100,43,70,61,-33.8040104183755,150.955426815582
Pennant Hills,2120,New South Wales,Unit,Sydney - Ryde,74,68,100,99,100,100,-33.7362504394249,151.071190576923
Pennant Hills,2120,New South Wales,House,Sydney - Ryde,65,90,100,22,44,40,-33.7362504394249,151.071190576923
Penrith,2750,New South Wales,Unit,Sydney - Outer West and Blue Mountains,71,68,100,100,100,54,-33.7452034638479,150.699079586801
Penrith,2750,New South Wales,House,Sydney - Outer West and Blue Mountains,62,90,100,55,74,10,-33.7452034638479,150.699079586801
Penrose,2579,New South Wales,House,Southern Highlands and Shoalhaven,64,100,100,56,38,10,-34.6604748514641,150.211675193467
Penshurst (NSW),2222,New South Wales,Unit,Sydney - Inner South West,78,68,100,87,100,87,-33.9648540796302,151.087613227138
Penshurst (NSW),2222,New South Wales,House,Sydney - Inner South West,66,90,100,28,35,10,-33.9648540796302,151.087613227138
Perthville,2795,New South Wales,House,Central West,76,90,100,40,100,100,-33.4955671592634,149.556487493484
Petersham,2049,New South Wales,Unit,Sydney - City and Inner South,73,75,100,57,100,100,-33.8945297428973,151.155389968649
Petersham,2049,New South Wales,House,Sydney - City and Inner South,58,100,100,30,38,10,-33.8945297428973,151.155389968649
Pheasants Nest,2574,New South Wales,House,Sydney - Outer South West,73,90,100,50,100,100,-34.2732637981382,150.635533789181
Phegans Bay,2256,New South Wales,House,Central Coast,70,90,100,53,95,100,-33.4883665485145,151.305588667057
Phillip Bay,2036,New South Wales,Unit,Sydney - Eastern Suburbs,69,68,100,47,67,44,-33.979476582613,151.232834509858
Phillip Bay,2036,New South Wales,House,Sydney - Eastern Suburbs,66,90,100,55,12,10,-33.979476582613,151.232834509858
Piallamore,2340,New South Wales,House,New England and North West,66,90,53,99,100,100,-31.145785377758,151.060433757635
Piambong,2850,New South Wales,House,Central West,89,90,100,93,100,88,-32.4968794434179,149.412172972653
Picketts Valley,2251,New South Wales,House,Central Coast,70,90,100,48,100,100,-33.4575088166019,151.407156856154
Picnic Point,2213,New South Wales,Unit,Sydney - Inner South West,79,68,100,46,98,100,-33.9730500425932,151.00586147144
Picnic Point,2213,New South Wales,House,Sydney - Inner South West,64,90,100,53,77,18,-33.9730500425932,151.00586147144
Picton (NSW),2571,New South Wales,House,Sydney - Outer South West,73,90,100,52,99,100,-34.1755576233104,150.612486438644
Picton (NSW),2571,New South Wales,Unit,Sydney - Outer South West,68,68,100,67,100,100,-34.1755576233104,150.612486438644
Piggabeen,2486,New South Wales,House,Richmond - Tweed,70,90,100,66,84,44,-28.1990511756163,153.43626791307
Pillar Valley,2462,New South Wales,House,Coffs Harbour - Grafton,78,90,100,68,72,10,-29.6951991888031,153.166486040208
Pilliga,2388,New South Wales,House,New England and North West,57,90,1,91,99,14,-30.4084143412464,148.869835708073
Pimlico (NSW),2478,New South Wales,House,Richmond - Tweed,77,90,100,69,77,16,-28.8944358445409,153.500781563006
Pindimar,2324,New South Wales,House,Hunter Valley exc Newcastle,72,90,100,50,53,10,-32.6583573347243,152.09254312119
Pitt Town,2756,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,73,90,100,39,75,81,-33.5841337944617,150.871705109067
Pleasant Hills,2658,New South Wales,House,Riverina,71,90,100,100,100,43,-35.4726251127889,146.777758810462
Pleasure Point,2172,New South Wales,House,Sydney - South West,71,90,100,52,100,100,-33.9727222603988,150.987431057858
Plumpton (NSW),2761,New South Wales,House,Sydney - Blacktown,79,90,100,63,99,98,-33.7521517296832,150.836267976811
Plumpton (NSW),2761,New South Wales,Unit,Sydney - Blacktown,61,68,100,93,100,100,-33.7521517296832,150.836267976811
Point Clare,2250,New South Wales,Unit,Central Coast,82,68,100,66,100,100,-33.4400812917822,151.318911065719
Point Clare,2250,New South Wales,House,Central Coast,66,90,100,59,77,10,-33.4400812917822,151.318911065719
Point Frederick,2250,New South Wales,Unit,Central Coast,73,68,100,93,100,73,-33.4418258111618,151.34277712129
Point Frederick,2250,New South Wales,House,Central Coast,69,90,100,62,82,48,-33.4418258111618,151.34277712129
Point Piper,2027,New South Wales,Unit,Sydney - Eastern Suburbs,77,68,100,67,100,100,-33.8680778868851,151.251402160179
Point Piper,2027,New South Wales,House,Sydney - Eastern Suburbs,68,90,100,13,10,10,-33.8680778868851,151.251402160179
Pokolbin,2320,New South Wales,House,Hunter Valley exc Newcastle,78,90,100,26,57,82,-32.7529574922462,151.274866965797
Pomona (NSW),2648,New South Wales,House,Murray,70,90,100,100,100,30,-34.0195877220266,141.890648224685
Pooncarie,2648,New South Wales,House,Murray,71,90,100,100,100,10,-33.4204101627947,142.449728786949
Port Hacking,2229,New South Wales,House,Sydney - Sutherland,63,90,100,48,68,10,-34.0669368324409,151.123237784915
Port Kembla,2505,New South Wales,Unit,Illawarra,77,68,100,10,100,100,-34.4706307018438,150.889394158772
Port Kembla,2505,New South Wales,House,Illawarra,72,90,100,66,69,10,-34.4706307018438,150.889394158772
Port Macquarie,2444,New South Wales,Unit,Mid North Coast,76,68,100,87,100,60,-31.4601007732329,152.89602384425
Port Macquarie,2444,New South Wales,House,Mid North Coast,64,90,100,73,73,10,-31.4601007732329,152.89602384425
Portland (NSW),2847,New South Wales,House,Central West,81,90,100,91,100,78,-33.3572776307928,149.97182507314
Possum Brush,2430,New South Wales,House,Mid North Coast,79,90,100,58,80,51,-32.0399625721737,152.383398016867
Possum Creek,2479,New South Wales,House,Richmond - Tweed,74,90,100,61,46,10,-28.6715581995081,153.493283583044
Potato Point,2545,New South Wales,House,Capital Region,76,90,100,41,64,52,-36.0811090691414,150.12246252521
Pottery Estate,2790,New South Wales,House,Central West,68,90,100,76,84,23,-33.4872270879591,150.156310238744
Potts Hill,2143,New South Wales,Unit,Sydney - Inner South West,79,68,100,100,100,100,-33.8928310974643,151.032773834476
Potts Hill,2143,New South Wales,House,Sydney - Inner South West,70,90,100,69,83,33,-33.8928310974643,151.032773834476
Potts Point,2011,New South Wales,Unit,Sydney - City and Inner South,70,68,96,77,100,89,-33.8668952909217,151.225930562601
Pottsville,2489,New South Wales,Unit,Richmond - Tweed,64,68,100,76,87,35,-28.3875268382186,153.557462688495
Pottsville,2489,New South Wales,House,Richmond - Tweed,59,90,100,57,49,10,-28.3875268382186,153.557462688495
Prairiewood,2176,New South Wales,Unit,Sydney - South West,83,68,100,58,89,78,-33.8652556588025,150.90380811848
Prairiewood,2176,New South Wales,House,Sydney - South West,69,90,100,45,48,10,-33.8652556588025,150.90380811848
Prestons,2170,New South Wales,Unit,Sydney - South West,84,68,100,75,100,100,-33.9415212674881,150.871188878235
Prestons,2170,New South Wales,House,Sydney - South West,78,90,100,58,92,85,-33.9415212674881,150.871188878235
Pretty Beach (Central Coast - NSW),2257,New South Wales,House,Central Coast,72,90,100,41,53,27,-33.5267859961569,151.350205108032
Primbee,2502,New South Wales,Unit,Illawarra,88,68,100,100,100,80,-34.5077500569027,150.881920723684
Primbee,2502,New South Wales,House,Illawarra,68,90,100,58,60,10,-34.5077500569027,150.881920723684
Primrose Valley,2621,New South Wales,House,Capital Region,75,90,87,59,100,100,-35.4873044278718,149.395553388437
Prospect (NSW),2148,New South Wales,House,Sydney - Blacktown,74,90,100,41,81,92,-33.7984887936377,150.915240798608
Prospect (NSW),2148,New South Wales,Unit,Sydney - Blacktown,67,68,100,86,100,100,-33.7984887936377,150.915240798608
Pumpenbil,2484,New South Wales,House,Richmond - Tweed,66,90,100,52,39,10,-28.3774489432199,153.154506306464
Punchbowl (Canterbury-Bankstown - NSW),2196,New South Wales,Unit,Sydney - Inner South West,86,68,100,100,100,58,-33.9290637937335,151.051730749365
Punchbowl (Canterbury-Bankstown - NSW),2196,New South Wales,House,Sydney - Inner South West,79,90,100,48,42,10,-33.9290637937335,151.051730749365
Putney,2112,New South Wales,Unit,Sydney - Ryde,77,68,100,32,89,100,-33.8268115907917,151.107885249214
Putney,2112,New South Wales,House,Sydney - Ryde,56,90,100,19,10,10,-33.8268115907917,151.107885249214
Putta Bucca,2850,New South Wales,House,Central West,72,90,100,88,100,100,-32.5759532960375,149.584243294908
Putty,2330,New South Wales,House,Hunter Valley exc Newcastle,82,90,100,83,75,10,-32.8856972290216,150.638414579916
Pymble,2073,New South Wales,Unit,Sydney - North Sydney and Hornsby,73,68,100,69,100,100,-33.7451520490399,151.141106278042
Pymble,2073,New South Wales,House,Sydney - North Sydney and Hornsby,57,90,100,24,21,10,-33.7451520490399,151.141106278042
Pyrmont,2009,New South Wales,Unit,Sydney - City and Inner South,72,68,96,68,90,61,-33.8692685909632,151.192660317335
Quaama,2550,New South Wales,House,Capital Region,73,90,100,63,63,10,-36.4663569390138,149.890589874848
Quakers Hill,2763,New South Wales,Unit,Sydney - Blacktown,69,68,100,67,100,100,-33.7282478166637,150.897322283553
Quakers Hill,2763,New South Wales,House,Sydney - Blacktown,65,90,100,42,88,79,-33.7282478166637,150.897322283553
Quandialla,2721,New South Wales,House,Central West,75,90,100,100,100,65,-34.0193910243281,147.791464249489
Queanbeyan,2620,New South Wales,Unit,Capital Region,70,68,87,98,100,100,-35.3523186895303,149.2302730633
Queanbeyan,2620,New South Wales,House,Capital Region,68,90,87,66,89,27,-35.3523186895303,149.2302730633
Queanbeyan East,2620,New South Wales,Unit,Capital Region,81,68,87,100,100,100,-35.3446524390839,149.247413509669
Queanbeyan East,2620,New South Wales,House,Capital Region,80,90,87,78,94,54,-35.3446524390839,149.247413509669
Queanbeyan West,2620,New South Wales,House,Capital Region,84,90,87,86,100,85,-35.3564352749856,149.208173945041
Queanbeyan West,2620,New South Wales,Unit,Capital Region,82,68,87,100,100,100,-35.3564352749856,149.208173945041
Queens Park (NSW),2022,New South Wales,Unit,Sydney - Eastern Suburbs,80,68,100,72,100,100,-33.8992565686455,151.247353816059
Queens Park (NSW),2022,New South Wales,House,Sydney - Eastern Suburbs,57,90,100,32,10,10,-33.8992565686455,151.247353816059
Queenscliff (NSW),2096,New South Wales,House,Sydney - Northern Beaches,66,90,100,29,14,10,-33.7826244951089,151.284443871124
Queenscliff (NSW),2096,New South Wales,Unit,Sydney - Northern Beaches,65,68,100,45,88,100,-33.7826244951089,151.284443871124
Quialigo,2580,New South Wales,House,Capital Region,66,90,100,69,93,67,-34.9337233553155,149.784884528401
Quipolly,2343,New South Wales,House,New England and North West,70,90,53,100,100,100,-31.4141874658043,150.730477329555
Quirindi,2343,New South Wales,House,New England and North West,75,90,53,100,100,72,-31.4994759247053,150.627182326668
Quirindi,2343,New South Wales,Unit,New England and North West,71,68,53,26,93,100,-31.4994759247053,150.627182326668
Quorrobolong,2325,New South Wales,House,Hunter Valley exc Newcastle,81,90,100,58,100,100,-32.9349626428052,151.383728565614
Raby,2566,New South Wales,House,Sydney - Outer South West,70,90,100,57,93,90,-34.0200656280997,150.817572471924
Raby,2566,New South Wales,Unit,Sydney - Outer South West,54,68,100,57,100,100,-34.0200656280997,150.817572471924
Raglan (NSW),2795,New South Wales,House,Central West,79,90,100,78,100,94,-33.4185007001494,149.655495748532
Rainbow Flat,2430,New South Wales,House,Mid North Coast,70,90,100,70,78,10,-32.032632389606,152.495319558998
Raleigh,2454,New South Wales,House,Coffs Harbour - Grafton,77,90,100,66,84,45,-30.4576812941747,152.990481297191
Ramornie,2460,New South Wales,House,Coffs Harbour - Grafton,67,90,100,68,75,10,-29.6569606516191,152.743320781442
Ramsgate,2217,New South Wales,Unit,Sydney - Inner South West,68,68,100,64,87,59,-33.9823967359584,151.140524078219
Ramsgate,2217,New South Wales,House,Sydney - Inner South West,62,90,100,29,10,10,-33.9823967359584,151.140524078219
Ramsgate Beach,2217,New South Wales,Unit,Sydney - Inner South West,72,68,100,64,74,16,-33.9825565796438,151.146559989355
Ramsgate Beach,2217,New South Wales,House,Sydney - Inner South West,72,90,100,29,10,10,-33.9825565796438,151.146559989355
Rand,2642,New South Wales,House,Murray,87,90,100,78,100,80,-35.5674902545324,146.523780633449
Randwick,2031,New South Wales,Unit,Sydney - Eastern Suburbs,73,68,100,65,94,76,-33.9186087605985,151.24226613837
Randwick,2031,New South Wales,House,Sydney - Eastern Suburbs,67,90,100,43,18,100,-33.9186087605985,151.24226613837
Rankin Park,2287,New South Wales,House,Newcastle and Lake Macquarie,68,90,100,83,100,55,-32.9259576688028,151.680498309254
Rankins Springs,2669,New South Wales,House,Riverina,70,90,76,72,95,71,-33.7839570018124,146.193930239996
Rappville,2469,New South Wales,House,Richmond - Tweed,65,90,100,90,71,10,-29.066496565,152.943834412188
Rathmines,2283,New South Wales,Unit,Newcastle and Lake Macquarie,82,68,100,57,99,100,-33.0391304855868,151.578472117782
Rathmines,2283,New South Wales,House,Newcastle and Lake Macquarie,71,90,100,74,85,33,-33.0391304855868,151.578472117782
Ravenswood (NSW),2824,New South Wales,House,Far West and Orana,55,90,6,10,100,100,-31.6971811669183,147.841915307466
Raworth,2321,New South Wales,Unit,Hunter Valley exc Newcastle,67,68,100,86,100,100,-32.7262015801154,151.606859785807
Raworth,2321,New South Wales,House,Hunter Valley exc Newcastle,64,90,100,75,100,87,-32.7262015801154,151.606859785807
Raymond Terrace,2324,New South Wales,Unit,Hunter Valley exc Newcastle,76,68,100,100,100,74,-32.755324269345,151.762477914051
Raymond Terrace,2324,New South Wales,House,Hunter Valley exc Newcastle,70,90,100,87,93,35,-32.755324269345,151.762477914051
Razorback,2571,New South Wales,House,Sydney - Outer South West,77,90,100,53,98,100,-34.159728451388,150.656776614901
Red Head,2430,New South Wales,House,Mid North Coast,64,90,100,70,74,10,-32.0572066122348,152.534687283009
Red Range,2370,New South Wales,House,New England and North West,77,90,95,100,100,100,-29.7952394681148,151.906958870203
Red Rock,2456,New South Wales,House,Coffs Harbour - Grafton,72,90,100,71,63,10,-29.9988106951884,153.210037116553
Redbank (NSW),2446,New South Wales,House,Mid North Coast,79,90,100,87,100,91,-31.4299018669833,152.736481303657
Redbournberry,2330,New South Wales,House,Hunter Valley exc Newcastle,72,90,100,100,100,100,-32.563287801209,151.191485703212
Redfern,2016,New South Wales,Unit,Sydney - City and Inner South,72,68,96,75,95,61,-33.8931916011614,151.207205599669
Redfern,2016,New South Wales,House,Sydney - City and Inner South,61,90,96,49,49,10,-33.8931916011614,151.207205599669
Redhead,2290,New South Wales,Unit,Newcastle and Lake Macquarie,80,68,100,100,100,94,-33.0056890483326,151.714143184034
Redhead,2290,New South Wales,House,Newcastle and Lake Macquarie,57,90,100,37,40,10,-33.0056890483326,151.714143184034
Reedy Creek (NSW),2330,New South Wales,House,Hunter Valley exc Newcastle,66,90,100,83,98,24,-32.4614693221641,151.342300097479
Regents Park (NSW),2143,New South Wales,Unit,Sydney - Parramatta,74,68,100,100,100,51,-33.8832553618329,151.026063706608
Regents Park (NSW),2143,New South Wales,House,Sydney - Parramatta,70,90,100,42,36,10,-33.8832553618329,151.026063706608
Regentville,2745,New South Wales,House,Sydney - Outer West and Blue Mountains,78,90,100,57,91,83,-33.7714487823799,150.662258457311
Reidsdale,2622,New South Wales,House,Capital Region,69,90,87,61,95,90,-35.5571760944223,149.839391910839
Renwick,2575,New South Wales,House,Southern Highlands and Shoalhaven,75,100,100,72,100,100,-34.4496690775007,150.473396286584
Repton,2454,New South Wales,House,Coffs Harbour - Grafton,81,90,100,66,84,44,-30.4415532752412,153.037434869911
Reserve Creek,2484,New South Wales,House,Richmond - Tweed,70,90,100,52,56,10,-28.3514921145676,153.491279464589
Revesby,2212,New South Wales,Unit,Sydney - Inner South West,79,68,100,53,89,86,-33.9477531181844,151.015071901947
Revesby,2212,New South Wales,House,Sydney - Inner South West,66,90,100,51,58,10,-33.9477531181844,151.015071901947
Revesby Heights,2212,New South Wales,Unit,Sydney - Inner South West,73,68,100,53,100,100,-33.969288344893,151.019354275244
Revesby Heights,2212,New South Wales,House,Sydney - Inner South West,63,90,100,60,85,28,-33.969288344893,151.019354275244
Rhodes,2138,New South Wales,House,Sydney - Inner West,63,90,100,10,10,10,-33.8300098809618,151.086501958085
Rhodes,2138,New South Wales,Unit,Sydney - Inner West,60,68,100,91,98,45,-33.8300098809618,151.086501958085
Richmond (NSW),2753,New South Wales,Unit,Sydney - Outer West and Blue Mountains,78,68,100,72,94,66,-33.6050959297445,150.773644092721
Richmond (NSW),2753,New South Wales,House,Sydney - Outer West and Blue Mountains,68,90,100,57,73,10,-33.6050959297445,150.773644092721
Richmond Hill (NSW),2480,New South Wales,House,Richmond - Tweed,63,90,100,58,92,56,-28.7907035384998,153.343661512033
Rileys Hill,2472,New South Wales,House,Richmond - Tweed,69,90,100,49,65,32,-29.0312380081228,153.382527523474
Riverside (NSW),2444,New South Wales,House,Mid North Coast,65,90,100,54,83,69,-31.394594371586,152.870415520094
Riverstone,2765,New South Wales,Unit,Sydney - Blacktown,75,68,100,44,93,100,-33.6755024986238,150.870827713782
Riverstone,2765,New South Wales,House,Sydney - Blacktown,73,90,100,60,91,79,-33.6755024986238,150.870827713782
Riverview (NSW),2066,New South Wales,House,Sydney - North Sydney and Hornsby,78,90,100,10,53,100,-33.8243362822134,151.160319944792
Riverwood,2210,New South Wales,Unit,Sydney - Inner South West,77,68,100,100,90,10,-33.9449759577161,151.052736682366
Riverwood,2210,New South Wales,House,Sydney - Inner South West,64,90,100,42,16,10,-33.9449759577161,151.052736682366
Robertson (NSW),2577,New South Wales,House,Southern Highlands and Shoalhaven,69,100,100,50,77,60,-34.6271955391391,150.593119524282
Robin Hill,2795,New South Wales,House,Central West,79,90,100,74,100,100,-33.4239713439267,149.531925213714
Rock Forest,2795,New South Wales,House,Central West,86,90,100,40,100,100,-33.3554085264657,149.381281490624
Rock Valley,2480,New South Wales,House,Richmond - Tweed,61,90,100,58,65,10,-28.7261096960863,153.155499355013
Rockdale,2216,New South Wales,Unit,Sydney - Inner South West,74,68,100,100,100,69,-33.9541168783037,151.142295635786
Rockdale,2216,New South Wales,House,Sydney - Inner South West,70,90,100,39,48,21,-33.9541168783037,151.142295635786
Rockley,2795,New South Wales,House,Central West,71,90,100,40,69,67,-33.6999716853746,149.534720805762
Rocky Point (NSW),2259,New South Wales,House,Central Coast,58,90,100,69,98,53,-33.2934035877639,151.469312503744
Rocky River (Uralla - NSW),2358,New South Wales,House,New England and North West,69,90,74,100,100,76,-30.5975964124475,151.455424524868
Rodd Point,2046,New South Wales,House,Sydney - Inner West,53,90,100,15,10,10,-33.865818302952,151.144028548739
Rollands Plains,2441,New South Wales,House,Mid North Coast,63,90,100,54,75,46,-31.2876141489763,152.652715139069
Rooty Hill,2766,New South Wales,House,Sydney - Blacktown,73,90,100,58,92,85,-33.7720589126805,150.843206438926
Rooty Hill,2766,New South Wales,Unit,Sydney - Blacktown,70,68,100,81,100,90,-33.7720589126805,150.843206438926
Ropes Crossing,2760,New South Wales,House,Sydney - Blacktown,65,90,100,70,100,60,-33.7274635578647,150.777309320239
Ropes Crossing,2760,New South Wales,Unit,Sydney - Blacktown,60,68,100,76,100,100,-33.7274635578647,150.777309320239
Rose Bay (NSW),2029,New South Wales,Unit,Sydney - Eastern Suburbs,70,68,100,61,89,70,-33.8741293305698,151.266996132988
Rose Bay (NSW),2029,New South Wales,House,Sydney - Eastern Suburbs,60,90,100,18,10,10,-33.8741293305698,151.266996132988
Rosebank,2480,New South Wales,House,Richmond - Tweed,73,90,100,58,81,51,-28.6695180973386,153.393572669077
Rosebery (NSW),2018,New South Wales,Unit,Sydney - City and Inner South,72,68,96,100,100,38,-33.9185413914522,151.205475823001
Rosebery (NSW),2018,New South Wales,House,Sydney - City and Inner South,70,90,96,40,32,10,-33.9185413914522,151.205475823001
Rosedale (NSW),2536,New South Wales,House,Capital Region,75,90,100,58,86,68,-35.8153939341958,150.213747414946
Rosehill (NSW),2142,New South Wales,House,Sydney - Parramatta,70,90,100,52,69,34,-33.826495129423,151.030429727357
Rosehill (NSW),2142,New South Wales,Unit,Sydney - Parramatta,61,68,100,100,100,95,-33.826495129423,151.030429727357
Roselands,2196,New South Wales,Unit,Sydney - Inner South West,80,68,100,100,100,84,-33.9332534158448,151.074196654719
Roselands,2196,New South Wales,House,Sydney - Inner South West,69,90,100,45,45,10,-33.9332534158448,151.074196654719
Rosemeadow,2560,New South Wales,Unit,Sydney - Outer South West,75,68,100,60,100,100,-34.1062793528051,150.793199561574
Rosemeadow,2560,New South Wales,House,Sydney - Outer South West,67,90,100,54,90,57,-34.1062793528051,150.793199561574
Roseville,2069,New South Wales,Unit,Sydney - North Sydney and Hornsby,73,68,100,95,100,100,-33.7825534119463,151.18498880818
Roseville,2069,New South Wales,House,Sydney - North Sydney and Hornsby,62,90,100,24,27,10,-33.7825534119463,151.18498880818
Roseville Chase,2069,New South Wales,House,Sydney - North Sydney and Hornsby,64,90,100,20,34,26,-33.7747116786817,151.199654777755
Rosewood (Port Macquarie-Hastings - NSW),2446,New South Wales,House,Mid North Coast,75,90,100,87,100,81,-31.4576673425494,152.687563434503
Rosewood (Snowy Valleys - NSW),2652,New South Wales,House,Riverina,87,90,100,100,100,95,-35.6495176866628,147.858170611524
Rossmore (NSW),2557,New South Wales,House,Sydney - South West,69,90,100,10,10,42,-33.936458214006,150.769598720855
Rouchel,2336,New South Wales,House,Hunter Valley exc Newcastle,68,90,75,100,100,100,-32.1463359661554,150.984533881626
Round Mountain,2484,New South Wales,House,Richmond - Tweed,51,90,100,51,32,10,-28.3552352726666,153.544394411692
Rous,2477,New South Wales,House,Richmond - Tweed,64,90,100,69,80,10,-28.8635753824971,153.408439153057
Rous Mill,2477,New South Wales,House,Richmond - Tweed,64,90,100,69,74,10,-28.8797628317265,153.382218000356
Rouse Hill,2155,New South Wales,Unit,Sydney - Baulkham Hills and Hawkesbury,67,68,100,79,100,100,-33.6775429839381,150.907563051974
Rouse Hill,2155,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,67,90,100,35,75,64,-33.6775429839381,150.907563051974
Rowena,2387,New South Wales,House,New England and North West,60,90,1,91,100,100,-29.7403170787959,148.958458008563
Royalla,2620,New South Wales,House,Capital Region,75,90,87,59,100,100,-35.4919937676182,149.175297903161
Rozelle,2039,New South Wales,Unit,Sydney - Inner West,70,68,100,40,94,100,-33.8645075470625,151.173412928086
Rozelle,2039,New South Wales,House,Sydney - Inner West,56,90,100,33,73,66,-33.8645075470625,151.173412928086
Run-o-Waters,2580,New South Wales,House,Capital Region,84,90,100,79,100,100,-34.7679729022621,149.671903433594
Running Stream,2850,New South Wales,House,Central West,74,90,100,73,93,60,-33.063003334976,149.841607115196
Ruse,2560,New South Wales,House,Sydney - Outer South West,71,90,100,64,94,81,-34.0692596567603,150.842947877828
Ruse,2560,New South Wales,Unit,Sydney - Outer South West,69,68,100,98,100,100,-34.0692596567603,150.842947877828
Rushcutters Bay,2011,New South Wales,Unit,Sydney - City and Inner South,69,68,96,91,100,69,-33.8745160979511,151.228673081668
Rushforth,2460,New South Wales,House,Coffs Harbour - Grafton,79,90,100,68,99,87,-29.7488097727299,152.859773445269
Russell Lea,2046,New South Wales,Unit,Sydney - Inner West,71,68,100,40,93,100,-33.8585122943476,151.140585567767
Russell Lea,2046,New South Wales,House,Sydney - Inner West,57,90,100,26,30,10,-33.8585122943476,151.140585567767
Russell Vale,2517,New South Wales,House,Illawarra,70,90,100,54,57,10,-34.3545874026267,150.891259054581
Russell Vale,2517,New South Wales,Unit,Illawarra,66,68,100,70,94,70,-34.3545874026267,150.891259054581
Rutherford,2320,New South Wales,Unit,Hunter Valley exc Newcastle,73,68,100,91,100,99,-32.7115903331485,151.514521053698
Rutherford,2320,New South Wales,House,Hunter Valley exc Newcastle,61,90,100,88,98,14,-32.7115903331485,151.514521053698
Rydal,2790,New South Wales,House,Central West,85,90,100,68,99,89,-33.5218032343119,150.045532606612
Rydalmere,2116,New South Wales,Unit,Sydney - Parramatta,74,68,100,53,90,87,-33.8136491463184,151.037557693555
Rydalmere,2116,New South Wales,House,Sydney - Parramatta,62,90,100,25,40,16,-33.8136491463184,151.037557693555
Ryde,2112,New South Wales,Unit,Sydney - Ryde,73,68,100,100,100,82,-33.8077750285542,151.115185733236
Ryde,2112,New South Wales,House,Sydney - Ryde,57,90,100,21,10,10,-33.8077750285542,151.115185733236
Rye Park,2586,New South Wales,House,Capital Region,75,90,100,48,40,10,-34.5349461791104,148.910312209883
Rylstone,2849,New South Wales,House,Central West,79,90,100,73,100,86,-32.7476010367243,149.982804289971
Sackville,2756,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,77,90,66,57,93,92,-33.492485411863,150.888982753587
Sackville North,2756,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,76,90,100,18,49,93,-33.4871788858069,150.915093790024
Sadleir,2168,New South Wales,Unit,Sydney - South West,66,68,100,31,28,10,-33.9169147105998,150.890283321105
Sadleir,2168,New South Wales,House,Sydney - South West,66,90,100,54,38,10,-33.9169147105998,150.890283321105
Safety Beach (NSW),2456,New South Wales,House,Coffs Harbour - Grafton,72,90,100,71,95,70,-30.0926859409349,153.192870943619
Salamander Bay,2317,New South Wales,Unit,Hunter Valley exc Newcastle,79,68,100,89,84,10,-32.72930845381,152.089174376713
Salamander Bay,2317,New South Wales,House,Hunter Valley exc Newcastle,63,90,100,55,45,10,-32.72930845381,152.089174376713
Salt Ash,2318,New South Wales,House,Hunter Valley exc Newcastle,77,90,100,72,85,35,-32.7933238821179,151.922245837512
San Isidore,2650,New South Wales,House,Riverina,69,90,100,89,100,100,-35.1248030214321,147.291958500105
San Remo (NSW),2262,New South Wales,Unit,Central Coast,64,68,100,49,85,84,-33.2149249798972,151.521340661792
San Remo (NSW),2262,New South Wales,House,Central Coast,59,90,100,73,91,19,-33.2149249798972,151.521340661792
Sancrox,2446,New South Wales,House,Mid North Coast,80,90,100,87,100,100,-31.4395200033026,152.794522041992
Sanctuary Point,2540,New South Wales,Unit,Southern Highlands and Shoalhaven,79,68,100,77,95,60,-35.1028286916735,150.627229391996
Sanctuary Point,2540,New South Wales,House,Southern Highlands and Shoalhaven,63,90,100,68,76,10,-35.1028286916735,150.627229391996
Sandgate (NSW),2304,New South Wales,House,Newcastle and Lake Macquarie,58,90,100,77,30,10,-32.8685758195203,151.705103725585
Sandringham (NSW),2219,New South Wales,Unit,Sydney - Inner South West,78,68,100,64,96,86,-33.9986766245633,151.138957944213
Sandringham (NSW),2219,New South Wales,House,Sydney - Inner South West,70,90,100,29,10,10,-33.9986766245633,151.138957944213
Sandy Beach,2456,New South Wales,House,Coffs Harbour - Grafton,71,90,100,84,94,43,-30.1451354070577,153.180979817727
Sandy Hollow,2333,New South Wales,House,Hunter Valley exc Newcastle,69,90,75,100,100,10,-32.3377652010367,150.57730174602
Sandy Point (NSW),2172,New South Wales,House,Sydney - South West,69,90,100,52,100,100,-33.9756449329168,150.994175918268
