Suburb,Postcode,State,"Property
Type","Region
(SA4)",Investor Score (Out Of 100),Growth Gap Index,10 Year Growth,Yield Score,Buy Affordability Score,Rent Affordability Score,Latitude,Longitude
Annandale (NSW),2038,New South Wales,House,Sydney - Inner West,54,90,100,38,56,10,-33.8797918839437,151.171698337327
Annangrove,2156,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,76,90,100,18,42,82,-33.6554699529032,150.941827552646
Appin (NSW),2560,New South Wales,House,Sydney - Outer South West,67,90,100,48,94,100,-34.2117789545569,150.805740694314
Arakoon,2431,New South Wales,House,Mid North Coast,79,90,100,74,86,35,-30.9182714165768,153.064244981386
Araluen (NSW),2622,New South Wales,House,Capital Region,73,90,87,61,67,10,-35.6440695502319,149.819429391373
Arcadia (NSW),2159,New South Wales,House,Sydney - Baulkham Hills and Hawkesbury,70,90,100,13,46,100,-33.6067953428169,151.07472050696
Arcadia Vale,2283,New South Wales,House,Newcastle and Lake Macquarie,69,90,100,69,89,18,-33.058722821317,151.581421766348
Arding,2358,New South Wales,House,New England and North West,79,90,74,100,100,74,-30.5725312432644,151.536771478349
Ardlethan,2665,New South Wales,House,Central West,82,90,100,97,90,10,-34.334310269089,146.873851236782
Argenton,2284,New South Wales,Unit,Newcastle and Lake Macquarie,79,68,100,85,98,58,-32.9355141775074,151.63217938937
Argenton,2284,New South Wales,House,Newcastle and Lake Macquarie,64,90,100,70,76,10,-32.9355141775074,151.63217938937
Argents Hill,2449,New South Wales,House,Mid North Coast,63,90,100,55,62,10,-30.6055091324213,152.685900509957
Ariah Park,2665,New South Wales,House,Riverina,87,90,100,97,100,59,-34.3032330937167,147.217550189222
Armatree,2828,New South Wales,House,Far West and Orana,74,90,93,100,100,79,-31.4544944731056,148.418560293001
Armidale,2350,New South Wales,Unit,New England and North West,77,68,74,98,100,100,-30.5019570776055,151.671250584083
Armidale,2350,New South Wales,House,New England and North West,65,90,74,89,100,57,-30.5019570776055,151.671250584083
Arncliffe,2205,New South Wales,Unit,Sydney - Inner South West,72,68,100,100,100,57,-33.938669745662,151.147769110972
Arncliffe,2205,New South Wales,House,Sydney - Inner South West,67,90,100,34,49,10,-33.938669745662,151.147769110972
Arrawarra,2456,New South Wales,House,Coffs Harbour - Grafton,77,90,100,71,12,10,-30.0520102165688,153.190843157619
Arrawarra Headland,2456,New South Wales,House,Coffs Harbour - Grafton,74,90,100,71,87,45,-30.0671458892678,153.195028866074
Artarmon,2064,New South Wales,Unit,Sydney - North Sydney and Hornsby,73,68,100,59,98,99,-33.8119024949847,151.184776396651
Artarmon,2064,New South Wales,House,Sydney - North Sydney and Hornsby,66,90,100,26,10,10,-33.8119024949847,151.184776396651
Ashbury,2193,New South Wales,Unit,Sydney - Inner West,70,68,100,86,100,100,-33.9011627031032,151.11798601843
Ashbury,2193,New South Wales,House,Sydney - Inner West,68,90,100,28,52,67,-33.9011627031032,151.11798601843
Ashby (NSW),2463,New South Wales,House,Coffs Harbour - Grafton,64,90,100,68,80,10,-29.4405367651594,153.184224023268
Ashby Heights,2463,New South Wales,House,Coffs Harbour - Grafton,63,90,100,68,87,12,-29.3868755275541,153.171833102808
Ashcroft,2168,New South Wales,Unit,Sydney - South West,76,68,100,31,44,40,-33.9162478291166,150.899415092376
Ashcroft,2168,New South Wales,House,Sydney - South West,62,90,100,54,55,10,-33.9162478291166,150.899415092376
Ashfield (NSW),2131,New South Wales,Unit,Sydney - Inner West,71,68,100,69,97,81,-33.8894813594928,151.124403886778
Ashfield (NSW),2131,New South Wales,House,Sydney - Inner West,63,90,100,24,23,10,-33.8894813594928,151.124403886778
Ashford (NSW),2361,New South Wales,House,New England and North West,84,90,95,100,100,42,-29.2913148804091,151.179022373529
Ashley,2400,New South Wales,House,New England and North West,64,90,1,100,100,100,-29.2621695075824,149.784429321532
Ashmont,2650,New South Wales,Unit,Riverina,72,68,100,100,100,51,-35.1244547809118,147.332311061785
Ashmont,2650,New South Wales,House,Riverina,67,90,100,100,100,36,-35.1244547809118,147.332311061785
Ashtonfield,2323,New South Wales,Unit,Hunter Valley exc Newcastle,80,68,100,92,100,100,-32.7783145225083,151.599882971043
Ashtonfield,2323,New South Wales,House,Hunter Valley exc Newcastle,66,90,100,71,100,68,-32.7783145225083,151.599882971043
Asquith,2077,New South Wales,Unit,Sydney - North Sydney and Hornsby,72,68,100,69,100,100,-33.6882077673014,151.116737585398
Asquith,2077,New South Wales,House,Sydney - North Sydney and Hornsby,65,90,100,28,51,28,-33.6882077673014,151.116737585398
Attunga,2345,New South Wales,House,New England and North West,75,90,53,99,100,94,-30.8996729158775,150.783720997969
Auburn (NSW),2144,New South Wales,Unit,Sydney - Parramatta,70,68,100,100,100,45,-33.8578428413841,151.027143425638
Auburn (NSW),2144,New South Wales,House,Sydney - Parramatta,69,90,100,43,46,10,-33.8578428413841,151.027143425638
Auburn Vale,2360,New South Wales,House,New England and North West,73,90,95,100,100,100,-29.8232345708352,151.035851043919
Austinmer,2515,New South Wales,Unit,Illawarra,73,68,100,41,94,100,-34.3019619676836,150.928010368782
Austinmer,2515,New South Wales,House,Illawarra,69,90,100,41,65,56,-34.3019619676836,150.928010368782
Austral,2179,New South Wales,House,Sydney - South West,77,90,100,61,90,74,-33.9204665924126,150.811754830793
Austral,2179,New South Wales,Unit,Sydney - South West,61,68,100,10,100,100,-33.9204665924126,150.811754830793
Austral Eden,2440,New South Wales,House,Mid North Coast,69,90,100,57,84,32,-31.0221570546757,152.923852153899
Avalon Beach,2107,New South Wales,Unit,Sydney - Northern Beaches,71,68,100,78,100,99,-33.6289832843935,151.327326937613
Avalon Beach,2107,New South Wales,House,Sydney - Northern Beaches,58,90,100,35,28,10,-33.6289832843935,151.327326937613
Avoca (NSW),2577,New South Wales,House,Southern Highlands and Shoalhaven,75,100,100,58,88,74,-34.5908672556408,150.474980051186
Avoca Beach,2251,New South Wales,Unit,Central Coast,73,68,100,44,90,100,-33.4673816295828,151.424516260908
Avoca Beach,2251,New South Wales,House,Central Coast,68,90,100,46,73,63,-33.4673816295828,151.424516260908
Avondale (NSW),2530,New South Wales,Unit,Illawarra,81,68,100,76,100,84,-34.5216055902232,150.747671451012
Avondale (NSW),2530,New South Wales,House,Illawarra,79,90,100,75,89,44,-34.5216055902232,150.747671451012
Avonside,2628,New South Wales,House,Capital Region,75,90,100,91,100,100,-36.4019949424558,148.720325157877
Awaba,2283,New South Wales,House,Newcastle and Lake Macquarie,74,90,100,66,95,79,-33.0240501710621,151.538051000606
Aylmerton,2575,New South Wales,House,Southern Highlands and Shoalhaven,71,100,100,72,93,61,-34.4243066942651,150.49488591461
Baan Baa,2390,New South Wales,House,New England and North West,72,90,1,100,100,100,-30.5702920085691,149.934916134881
Backmede,2470,New South Wales,House,Richmond - Tweed,74,90,100,90,100,100,-28.7619831566627,153.026095506935
Balaclava (NSW),2575,New South Wales,House,Southern Highlands and Shoalhaven,83,100,100,72,98,79,-34.4399602645147,150.482450495775
Balala,2358,New South Wales,House,New England and North West,69,90,74,100,100,80,-30.6189482045779,151.285260691252
Balcolyn,2264,New South Wales,House,Newcastle and Lake Macquarie,61,90,100,66,84,10,-33.0944686408519,151.552273174079
Bald Hills (NSW),2549,New South Wales,House,Capital Region,70,90,100,70,80,21,-36.9101749641678,149.843130737632
Balgowlah,2093,New South Wales,Unit,Sydney - Northern Beaches,74,68,100,64,100,100,-33.7945856684692,151.261287519208
Balgowlah,2093,New South Wales,House,Sydney - Northern Beaches,60,90,100,42,17,10,-33.7945856684692,151.261287519208
Balgowlah Heights,2093,New South Wales,House,Sydney - Northern Beaches,63,90,100,54,61,10,-33.8076877666189,151.265149477829
Balgownie,2519,New South Wales,House,Illawarra,71,90,100,47,67,42,-34.3868810617023,150.871033586343
Balgownie,2519,New South Wales,Unit,Illawarra,68,68,100,70,96,78,-34.3868810617023,150.871033586343
Balladoran,2822,New South Wales,House,Far West and Orana,74,90,93,100,100,81,-31.8824951490167,148.625906104334
Balldale,2646,New South Wales,House,Murray,67,90,100,78,96,63,-35.8045743491269,146.505009547474
Ballimore,2830,New South Wales,House,Far West and Orana,66,90,93,57,100,100,-32.1782902825018,148.884998469027
Ballina,2478,New South Wales,Unit,Richmond - Tweed,71,68,100,85,76,10,-28.8344456669699,153.561782374499
Ballina,2478,New South Wales,House,Richmond - Tweed,68,90,100,73,46,10,-28.8344456669699,153.561782374499
Balmain,2041,New South Wales,Unit,Sydney - Inner West,75,68,100,42,93,100,-33.8583196299018,151.181030023465
Balmain,2041,New South Wales,House,Sydney - Inner West,53,90,100,31,57,33,-33.8583196299018,151.181030023465
Balmain East,2041,New South Wales,Unit,Sydney - Inner West,72,68,100,38,91,100,-33.8570707316852,151.192128808722
Balmain East,2041,New South Wales,House,Sydney - Inner West,56,90,100,31,49,13,-33.8570707316852,151.192128808722
Balmoral (Lake Macquarie - NSW),2283,New South Wales,House,Newcastle and Lake Macquarie,84,90,100,74,99,79,-33.0463125068948,151.580035452219
Balmoral (Wingecarribee - NSW),2571,New South Wales,House,Southern Highlands and Shoalhaven,70,100,100,66,100,100,-34.3017225119217,150.514996212681
Balranald,2715,New South Wales,House,Murray,86,90,100,100,100,10,-34.3346408745846,143.514248022733
Bandon Grove,2420,New South Wales,House,Hunter Valley exc Newcastle,70,90,100,65,94,78,-32.2772442712403,151.715550825537
Bangalee (NSW),2541,New South Wales,House,Southern Highlands and Shoalhaven,83,90,100,74,100,100,-34.8423613464324,150.552110834481
Bangalow,2479,New South Wales,Unit,Richmond - Tweed,66,68,100,12,46,100,-28.6806215769209,153.520986250413
Bangalow,2479,New South Wales,House,Richmond - Tweed,61,90,100,69,79,10,-28.6806215769209,153.520986250413
Bango,2582,New South Wales,House,Capital Region,65,90,100,48,95,85,-34.7601571736723,148.959046808833
Bangor (NSW),2234,New South Wales,House,Sydney - Sutherland,70,90,100,58,83,59,-34.0167293673957,151.032415684486
Bangor (NSW),2234,New South Wales,Unit,Sydney - Sutherland,63,68,100,60,100,100,-34.0167293673957,151.032415684486
Banksia,2216,New South Wales,House,Sydney - Inner South West,70,90,100,37,52,36,-33.9464177938412,151.146106363248
Banksia,2216,New South Wales,Unit,Sydney - Inner South West,62,68,100,100,100,79,-33.9464177938412,151.146106363248
Banksmeadow,2019,New South Wales,Unit,Sydney - City and Inner South,61,68,100,10,100,79,-33.9567614161144,151.214894927377
Bankstown,2200,New South Wales,Unit,Sydney - Inner South West,78,68,100,100,100,21,-33.919814949288,151.035613948982
Bankstown,2200,New South Wales,House,Sydney - Inner South West,68,90,100,36,17,10,-33.919814949288,151.035613948982
Bannister (NSW),2580,New South Wales,House,Capital Region,72,90,100,69,100,100,-34.6123407114738,149.488374414439
Banora Point,2486,New South Wales,Unit,Richmond - Tweed,64,68,100,85,78,10,-28.2244278862805,153.540576849433
Banora Point,2486,New South Wales,House,Richmond - Tweed,59,90,100,69,51,10,-28.2244278862805,153.540576849433
Bar Beach,2300,New South Wales,Unit,Newcastle and Lake Macquarie,75,68,100,73,100,100,-32.9390661380777,151.768450672912
Bar Beach,2300,New South Wales,House,Newcastle and Lake Macquarie,56,90,100,29,63,85,-32.9390661380777,151.768450672912
Bar Point,2083,New South Wales,House,Central Coast,57,90,100,26,10,10,-33.4982705062624,151.177046939242
Baradine,2396,New South Wales,House,Far West and Orana,88,90,93,100,100,68,-30.9134560010452,149.109808524433
Barangaroo,2000,New South Wales,Unit,Sydney - City and Inner South,64,68,96,10,100,61,-33.8601691804179,151.201515646875
Barden Ridge,2234,New South Wales,House,Sydney - Sutherland,72,90,100,57,87,72,-34.0351692636082,151.005226244717
Barden Ridge,2234,New South Wales,Unit,Sydney - Sutherland,70,68,100,60,100,100,-34.0351692636082,151.005226244717
Bardia,2565,New South Wales,House,Sydney - Outer South West,74,90,100,87,100,93,-33.9772606966863,150.860161413714
Bardia,2565,New South Wales,Unit,Sydney - Outer South West,55,68,100,10,100,100,-33.9772606966863,150.860161413714
Bardwell Park,2207,New South Wales,Unit,Sydney - Inner South West,85,68,100,88,100,100,-33.9358839576642,151.124078479393
Bardwell Park,2207,New South Wales,House,Sydney - Inner South West,73,90,100,33,56,59,-33.9358839576642,151.124078479393
Bardwell Valley,2207,New South Wales,Unit,Sydney - Inner South West,77,68,100,100,100,61,-33.937715192028,151.132412689396
Bardwell Valley,2207,New South Wales,House,Sydney - Inner South West,72,90,100,35,52,45,-33.937715192028,151.132412689396
Barellan,2665,New South Wales,House,Riverina,90,90,76,100,100,100,-34.1935121115032,146.608218254633
Bargo,2574,New South Wales,House,Sydney - Outer South West,71,90,100,52,84,76,-34.2870705612692,150.576898047057
Bargo,2574,New South Wales,Unit,Sydney - Outer South West,66,68,100,36,100,100,-34.2870705612692,150.576898047057
Barham,2732,New South Wales,House,Murray,87,90,100,100,100,77,-35.6055090456116,144.210385786336
Barkers Vale,2474,New South Wales,House,Richmond - Tweed,66,90,100,89,75,10,-28.5328141282419,153.118578856512
Barmedman,2668,New South Wales,House,Riverina,77,90,100,100,100,10,-34.1229116163203,147.403802048537
Barnsley,2278,New South Wales,House,Newcastle and Lake Macquarie,79,90,100,79,97,65,-32.9294890406288,151.585867561499
Barooga,3644,New South Wales,Unit,Murray,83,68,100,100,100,100,-35.9096856747931,145.711399193468
Barooga,3644,New South Wales,House,Murray,81,90,100,94,100,88,-35.9096856747931,145.711399193468
Barraba,2347,New South Wales,House,New England and North West,74,90,53,100,100,54,-30.3860968219391,150.557460380915
Barrack Heights,2528,New South Wales,Unit,Illawarra,80,68,100,83,94,46,-34.5629113617688,150.854619601633
Barrack Heights,2528,New South Wales,House,Illawarra,69,90,100,70,75,10,-34.5629113617688,150.854619601633
Barrack Point,2528,New South Wales,Unit,Illawarra,70,68,100,95,100,62,-34.5636704898388,150.868754864371
Barrack Point,2528,New South Wales,House,Illawarra,66,90,100,57,72,10,-34.5636704898388,150.868754864371
Barraganyatti,2441,New South Wales,House,Mid North Coast,79,90,100,57,72,29,-30.87284086044,152.925256680555
Barragga Bay,2546,New South Wales,House,Capital Region,80,90,100,63,73,15,-36.503650102002,150.052226851322
Barrengarry,2577,New South Wales,House,Southern Highlands and Shoalhaven,68,90,100,52,83,73,-34.6856951219784,150.52014692012
Barrington (NSW),2422,New South Wales,House,Mid North Coast,66,90,100,88,100,36,-31.9975015551054,151.88751292338
Barry (Blayney - NSW),2799,New South Wales,House,Central West,66,90,100,86,100,73,-33.6497183299836,149.273249749956
Barwang,2594,New South Wales,House,Capital Region,74,90,100,97,100,100,-34.4482462704311,148.493079770583
Basin View,2540,New South Wales,House,Southern Highlands and Shoalhaven,63,90,100,76,85,10,-35.0929888896835,150.557699089306
Bass Hill,2197,New South Wales,Unit,Sydney - Inner South West,80,68,100,64,79,34,-33.900296350403,150.997751318931
Bass Hill,2197,New South Wales,House,Sydney - Inner South West,67,90,100,58,43,10,-33.900296350403,150.997751318931
Bateau Bay,2261,New South Wales,Unit,Central Coast,78,68,100,69,94,71,-33.3847784397896,151.471784962028
